comment,compound,positive,negative,neutral,label
Tonton highlightsfull match lebih cepat dan lengkap dengan fitur CatchUp hanya di VISION Klik disini httpslinkvisionplusidseagames,0.186,0.382,0.293,0.325,positive
Berasa lihat pertandingan antar kecamatan,0.25,0.4,0.3,0.3,positive
Luar biasa Selamat atas PERTAMA KALI TIDAK LOLOS SEMIFINAL SEAGAMES DLM 15 TAHUN,-0.8877,0.261,0.507,0.232,negative
dari semifinalis piala asia u23 sampai jadi ampas di selevel2 seagames,-0.6124,0.25,0.4,0.35,negative
Misi sapri dan towel sukses,0.6124,0.5,0.0,0.5,positive
Era kegelapan towel telah kembali,0.0,0.0,0.0,1.0,neutral
nonton highlight terasa aneh sepak bola rebutan bola lempar,0.5267,0.425,0.23,0.345,positive
Dulu lihat timnas begitu menarik untuk di tonton sekarang lebih menarik lihat persib apalagi lolos ACL 2,0.875,0.513,0.256,0.231,positive
Anjir banner iklannya kurang gede itu kalau bisa ditutupi sekalian saja seluruh layar biar makin tidak bisa ditonton highlightnya,-0.9001,0.256,0.487,0.256,negative
Timnas seperti ini yang diinginkan Towel dan kawan-kawan,-0.8402,0.0,0.571,0.429,negative
Raven di cadangkan di awal ekskskksskskkekskskekssk,0.4588,0.375,0.0,0.625,positive
towel tersenyum bahagia,0.9001,0.909,0.0,0.091,positive
Diam adalah luapan kekecewaan dan ketidakpedulian yang tidak terbatas,-0.9186,0.231,0.615,0.154,negative
Pengen jadi bintang semua Gak mau membagi bola,0.8402,0.6,0.2,0.2,positive
Sumpahkl didepan gawang tim indonesia persis main tarkam,-0.4588,0.214,0.357,0.429,negative
Woolah sedih sedih bagaimana begitu itulah PSSI,-0.9325,0.0,0.706,0.294,negative
Erik tohir suruh golin,-0.7906,0.0,0.778,0.222,negative
Towel tor monitor ketua mission complate ketua,0.0,0.0,0.0,1.0,neutral
Mumet2 federasi dengarkan towel,0.6124,0.571,0.0,0.429,positive
inilah yang diinginkan exco dan pssi kembali ke setelan pabrikkalau bisa mundur buat apa maju,-0.875,0.083,0.417,0.5,negative
Biasa nonton timnas era sin balik ke sini jadi kaya tarkam skrng pindah tontonan ke PERSIB saya,-0.25,0.333,0.333,0.333,negative
Gaya bermain sepak bola adalah gambaran suatu bangsa,-0.6124,0.0,0.364,0.636,negative
Level tarkam,0.0,0.0,0.0,1.0,neutral
Towel senyum bahagia,0.8402,0.889,0.0,0.111,positive
Dari juara bertahan menjadi pecundang bertahan,0.7906,0.588,0.235,0.176,positive
Jauh levelnya diera StY,-0.7184,0.0,0.625,0.375,negative
Mantappp Setelah kesuksesan sea games Coach indra safri langsung naik kelas melatih timnas senior,-0.4588,0.25,0.333,0.417,negative
Era emas Timnas,0.0,0.0,0.0,1.0,neutral
Batas kesabaran supporter timnas tidak lagi meluapkan emosi tapi diam dan tidak peduli,-0.4404,0.443,0.464,0.093,negative
Erik tohir inikah timnas yang kamu inginkan,-0.9001,0.0,0.667,0.333,negative
Akhirnya mengalirrr deraaassss lumayan buat tahun baruan,0.4588,0.444,0.0,0.556,positive
Jadi Ternyata inilah era yang di impikan Entah berapa ratus tahun lagi bisa sama seperti era sty mode U23 AFC,-0.9001,0.167,0.444,0.389,negative
indra safri pssi cinta banget indra safri,0.7184,0.545,0.0,0.455,positive
RIP timnas u22 smoga tenang dialam sana hihihi,-0.186,0.32,0.359,0.32,negative
Syukur syukur menang,0.9638,1.0,0.0,0.0,positive
Keliatan sekali pertahanan nya keteteran banget,0.4588,0.5,0.2,0.3,positive
Berasa lihat pertandingan antar sekolah SMA,0.7184,0.571,0.214,0.214,positive
Justin pasti lagi kejebak macet,0.0,0.364,0.364,0.273,neutral
apresiasi sebesar besar nya kepada pemain terima kasih atas perjuangan kalian kalian hebat tapi tidak untuk staff kepelatihan dan federasinya,-0.7184,0.275,0.375,0.35,negative
Era kegelapan kesukaan bang tow3l,0.0,0.0,0.0,1.0,neutral
Saya ingin mengucapkan selamat untuk towel dan kawan-kawan ocehan kalian di medsos di tv berhasil membuat timnas kembali ke habitat aslinyagood job,0.6124,0.372,0.279,0.349,positive
Giliran waktu habis bahkan protes2 kmana aje 95 menit,0.8402,0.533,0.0,0.467,positive
Betapa Kuat Relijiusnya Bung Indra Safri langsung sujud syukur,0.9638,0.783,0.0,0.217,positive
Guru pendidikan jasmani,0.6124,0.667,0.0,0.333,positive
Liburin liga FIFA MATCHDAY dipakai U23 demi fokus sea games hasilnya lolos grup saja tidak,-0.9584,0.118,0.588,0.294,negative
yang sabar untuk era timnas sekarang semoga lebih baik lagi kedepannya Mau maju apa mundur tergantung mereka yang mau berbuat kemana arahnya timnas sepakbola ini,0.8402,0.444,0.317,0.238,positive
Terimakasih Myanmar,0.7906,0.857,0.0,0.143,positive
Saya perhatikan sejak era evan dimas pak kumis ini strateginya mudah di baca oleh pelatih lawandan kadang terlambat mrnganti pemain yang kurang efektif,0.7184,0.418,0.327,0.255,positive
Pertandingan internasional rasa tarkam Bikin emosi saja nontonnya,-0.4588,0.25,0.438,0.312,negative
Hasil kerja keras ET menyingkirkan coach STY,0.25,0.438,0.312,0.25,positive
Toel pun senang melihat ini,0.7906,0.625,0.25,0.125,positive
Kembali stelan pabrik timnas indonesia,0.0,0.0,0.0,1.0,neutral
Revan spesialis finishing tim asean,0.0,0.385,0.385,0.231,neutral
Selamat Buat bang Safrianda pelatih yang tidak ada duanya di negeri inidan anda layak jadi pelatih muMajalaya united,0.8957,0.554,0.316,0.13,positive
Era towel kembali,0.0,0.0,0.0,1.0,neutral
Mengalami kemajuan pesat timnas,0.8402,0.8,0.0,0.2,positive
Towel justin arya dan tohirin si paling belanda sangat senang dengan hasil ini,0.9432,0.583,0.0,0.417,positive
Eh akhirnya kembali berkebun juga,0.0,0.0,0.0,1.0,neutral
Towel sama Cuch mana komen nya,0.6124,0.444,0.0,0.556,positive
